,review,sentiment,word_count
0,"['slowmoving', 'aimless', 'movie', 'distressed', 'drifting', 'young', 'man']",0,13
1,"['sure', 'lost', 'flat', 'characters', 'audience', 'nearly', 'half', 'walked']",0,19
2,"['attempting', 'artiness', 'black', 'white', 'clever', 'camera', 'angles', 'movie', 'disappointed', 'became', 'even', 'ridiculous', 'acting', 'poor', 'plot', 'lines', 'almost', 'nonexistent']",0,31
3,"['little', 'music', 'anything', 'speak']",0,8
4,"['best', 'scene', 'movie', 'gerardo', 'trying', 'find', 'song', 'keeps', 'running', 'head']",1,21
5,"['rest', 'movie', 'lacks', 'art', 'charm', 'meaning', 'emptiness', 'works', 'guess', 'empty']",0,20
6,"['wasted', 'two', 'hours']",0,3
7,"['saw', 'movie', 'today', 'thought', 'good', 'effort', 'good', 'messages', 'kids']",1,15
8,"['bit', 'predictable']",0,3
9,"['loved', 'casting', 'jimmy', 'buffet', 'science', 'teacher']",1,10
10,"['baby', 'owls', 'adorable']",1,6
11,"['movie', 'showed', 'lot', 'florida', 'best', 'made', 'look', 'appealing']",1,15
12,"['songs', 'best', 'muppets', 'hilarious']",1,11
13,['cool'],1,4
14,"['right', 'case', 'movie', 'delivers', 'everything', 'almost', 'right', 'face']",1,16
15,"['average', 'acting', 'main', 'person', 'low', 'budget', 'clearly', 'see']",0,20
16,"['review', 'long', 'overdue', 'since', 'consider', 'tale', 'two', 'sisters', 'single', 'greatest', 'film', 'ever', 'made']",1,21
17,"['ill', 'put', 'gem', 'movie', 'terms', 'screenplay', 'cinematography', 'acting', 'postproduction', 'editing', 'directing', 'aspect', 'filmmaking']",1,23
18,"['practically', 'perfect', 'true', 'masterpiece', 'sea', 'faux', 'masterpieces']",1,17
19,"['structure', 'film', 'easily', 'tightly', 'constructed', 'history', 'cinema']",1,17
20,"['think', 'film', 'something', 'vitally', 'important', 'occurs', 'every', 'minute']",1,15
21,"['words', 'content', 'level', 'film', 'enough', 'easily', 'fill', 'dozen', 'films']",1,18
22,"['anyone', 'right', 'mind', 'ask', 'anything', 'movie']",1,16
23,"['quite', 'simply', 'highest', 'superlative', 'form', 'cinema', 'imaginable']",1,11
24,"['yes', 'film', 'require', 'rather', 'significant', 'amount', 'puzzlesolving', 'pieces', 'fit', 'together', 'create', 'beautiful', 'picture']",1,21
25,"['short', 'film', 'certainly', 'pulls', 'punches']",0,7
26,"['graphics', 'far', 'best', 'part', 'game']",0,10
27,"['number', 'one', 'best', 'th', 'game', 'series']",1,11
28,"['deserves', 'strong', 'love']",1,4
29,"['insane', 'game']",1,5
30,"['massive', 'levels', 'massive', 'unlockable', 'characters', 'massive', 'game']",1,12
31,"['waste', 'money', 'game']",1,6
32,"['kind', 'money', 'wasted', 'properly']",1,10
33,"['actually', 'graphics', 'good', 'time']",1,8
34,"['today', 'graphics', 'crap']",0,5
35,"['say', 'canada', 'fun', 'game', 'aye']",1,11
36,"['game', 'rocks']",1,3
37,"['buy', 'play', 'enjoy', 'love']",1,8
38,"['pure', 'brilliance']",1,3
39,"['flick', 'doomed', 'conception']",0,8
40,"['idea', 'lame', 'take', 'minor', 'character', 'mediocre', 'pg', 'film', 'make', 'complete', 'nonsequel', 'changing', 'tone', 'pgrated', 'family', 'movie']",0,31
41,"['wasnt', 'least', 'bit', 'interested']",0,6
42,"['confirm', 'film', 'would', 'unfunny', 'generic', 'also', 'managed', 'give', 'away', 'entire', 'movie', 'im', 'exaggerating', 'every', 'moment', 'every', 'plot', 'point', 'every', 'joke', 'told', 'trailer']",0,41
43,['funny'],0,5
44,"['even', 'talented', 'carrell', 'cant', 'save']",0,8
45,"['costars', 'dont', 'fare', 'much', 'better', 'people', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helms', 'wasted']",0,18
46,"['story', 'predictable', 'lazy']",0,8
47,"['real', 'effects', 'work', 'presence', 'animals', 'integration', 'scenes', 'worst', 'obvious', 'bluegreenscreen', 'work', 'ive', 'ever', 'seen']",0,33
48,"['whatever', 'cost', 'much', 'didnt', 'translate', 'quality', 'thats', 'sure']",0,17
49,"['film', 'succeeds', 'despite', 'perhaps', 'obviously', 'meagre', 'budget']",1,12
50,"['im', 'glad', 'film', 'didnt', 'go', 'obvious', 'choice', 'lesser', 'film', 'certainly', 'would']",1,18
51,"['addition', 'one', 'lovely', 'songs', 'ever', 'written', 'french', 'cancan', 'also', 'boasts', 'one', 'cutest', 'leading', 'ladies', 'ever', 'grace', 'screen']",1,27
52,"['hard', 'fall', 'headoverheels', 'love', 'girl']",1,11
53,"['negative', 'insipid', 'enough', 'cause', 'regret', 'another', 'hours', 'life', 'wasted', 'front', 'screen']",0,21
54,"['long', 'whiny', 'pointless']",0,4
55,"['recommend', 'waiting', 'future', 'efforts', 'let', 'one', 'go']",0,12
56,"['excellent', 'cast', 'story', 'line', 'performances']",1,5
57,"['totally', 'believable']",1,2
58,"['anne', 'heche', 'utterly', 'convincing']",1,5
59,"['sam', 'shepards', 'portrayal', 'gung', 'ho', 'marine', 'sobering']",1,10
60,"['sat', 'riveted', 'tv', 'screen']",1,7
61,"['give', 'one', 'resounding']",1,13
62,"['think', 'tom', 'hanks', 'good', 'actor']",1,9
63,"['enjoyed', 'reading', 'book', 'children', 'little']",1,12
64,"['disappointed', 'movie']",0,7
65,"['one', 'character', 'totally', 'annoying', 'voice', 'gives', 'feeling', 'fingernails', 'chalkboard']",0,18
66,"['totally', 'unnecessary', 'trainroller', 'coaster', 'scene']",0,8
67,"['absolutely', 'warmth', 'charm', 'scenes', 'characters']",0,12
68,"['movie', 'totally', 'grates', 'nerves']",0,7
69,"['performances', 'improved', 'improvisation', 'actors', 'twice', 'much', 'worry', 'whether', 'theyre', 'delivering', 'line', 'well', 'whether', 'line', 'good']",0,34
70,"['quite', 'honestly', 'often', 'good']",0,8
71,"['often', 'dialogue', 'doesnt', 'really', 'follow', 'one', 'line', 'another', 'fit', 'surroundings']",0,15
72,"['crackles', 'unpredictable', 'youthful', 'energy', 'honestly', 'found', 'hard', 'follow', 'concentrate', 'meanders', 'badly']",0,23
73,"['generally', 'great', 'things']",1,8
74,"['wouldnt', 'say', 'theyre', 'worth', 'hours', 'time', 'though']",0,11
75,"['suspense', 'builders', 'good', 'cross', 'line', 'g', 'pg']",1,14
76,"['especially', 'liked', 'noncliche', 'choices', 'parents', 'movies', 'could', 'predict', 'dialog', 'verbatim', 'writing', 'movie', 'made', 'better', 'selections']",1,27
77,"['want', 'movie', 'thats', 'gross', 'gives', 'chills', 'great', 'choice']",1,18
78,"['alexander', 'nevsky', 'great', 'film']",1,6
79,"['amazing', 'film', 'artist', 'one', 'important', 'whoever', 'lived']",1,13
80,"['im', 'glad', 'pretentious', 'piece', 'didnt', 'planned', 'dodge', 'stratus', 'big', 'shots', 'gon', 'na', 'help', 'movie', 'makers', 'arent', 'restrained', 'movie', 'business', 'qubec']",0,32
81,"['first', 'movie', 'ive', 'given', 'years']",1,12
82,"['ever', 'movie', 'needed', 'wordofmouth', 'promote']",1,14
83,"['overall', 'film', 'interesting', 'thoughtprovoking']",1,7
84,"['plus', 'wellpaced', 'suited', 'relatively', 'short', 'run', 'time']",1,11
85,"['give', 'one', 'look']",1,5
86,['gave'],1,5
87,"['wind', 'lion', 'well', 'written', 'superbly', 'acted']",1,11
88,"['true', 'classic']",1,5
89,"['actually', 'turned', 'pretty', 'decent', 'far', 'blist', 'horrorsuspense', 'films', 'go']",1,15
90,"['definitely', 'worth', 'checking']",1,4
91,"['problem', 'script']",0,5
92,['horrendous'],0,3
93,"['nothing', 'believable']",0,8
94,"['suspense', 'feeling', 'frustration', 'retarded', 'girls']",0,16
95,"['manna', 'heaven', 'terrific', 'film', 'predictable', 'unpredictable', 'time']",1,17
96,"['scenes', 'often', 'funny', 'occasionally', 'touching', 'characters', 'evaluate', 'lives', 'going']",1,19
97,"['cast', 'veteran', 'actors', 'nostalgia', 'trip']",1,12
98,"['ursula', 'burtons', 'portrayal', 'nun', 'touching', 'funny', 'time', 'making', 'fun', 'nuns', 'church']",1,24
99,"['looking', 'movie', 'terrific', 'cast', 'good', 'musicincluding', 'shirley', 'jones', 'rendition', 'way', 'look', 'tonight', 'uplifting', 'ending', 'give', 'one', 'try']",1,33
100,"['dont', 'think', 'disappointed']",1,7
101,"['frankly', 'cotton', 'club', 'unfaithful', 'kind', 'embarrassing', 'watch', 'lane', 'gere', 'film', 'bad']",0,23
102,"['acting', 'bad', 'dialogs', 'extremely', 'shallow', 'insincere']",0,11
103,"['predictable', 'even', 'chick', 'flick']",0,9
104,"['politically', 'correct']",0,3
105,['disappointing'],0,2
106,"['thing', 'really', 'worth', 'watching', 'scenery', 'house', 'beautiful']",1,16
107,"['love', 'lane', 'ive', 'never', 'seen', 'movie', 'lousy']",0,13
108,"['hour', 'half', 'wish', 'could', 'bring', 'back']",0,11
109,"['terms', 'writing', 'fresh', 'bold']",1,11
110,"['acting', 'helps', 'writing', 'along', 'well', 'maybe', 'idiotsavant', 'sister', 'could', 'played', 'better', 'real', 'joy', 'watch']",1,25
111,"['directing', 'cinematography', 'arent', 'quite', 'good']",0,9
112,"['movie', 'boring', 'sometimes', 'found', 'occupied', 'peaking', 'paper', 'instead', 'watching', 'never', 'happened', 'columbo', 'movie']",0,25
113,"['sometimes', 'embarrassing', 'look', 'away']",0,13
114,"['directing', 'seems', 'pretentious']",0,5
115,"['scenes', 'ohsomature', 'neighbourgirl', 'misplace']",0,9
116,"['generally', 'lines', 'plot', 'weaker', 'average', 'episode']",0,12
117,"['scene', 'debated', 'whether', 'sack', 'trumpeter', 'falsely', 'accused', 'murder', 'pure', 'horror', 'really', 'stupid']",0,24
118,"['applause', 'given', 'prelude', 'however']",1,9
119,"['really', 'liked']",1,4
120,"['great', 'film', 'great', 'director']",1,7
121,"['movie', 'edge', 'seat', 'made', 'somewhat', 'afraid', 'go', 'car', 'end', 'night']",1,26
122,"['music', 'film', 'really', 'nice']",1,9
123,"['id', 'advise', 'anyone', 'go', 'see']",1,8
124,['brilliant'],1,1
125,[],1,1
126,"['liked', 'movie', 'way', 'much']",1,7
127,"['problem', 'thought', 'actor', 'playing', 'villain', 'low', 'rent', 'michael', 'ironside']",0,17
128,"['rocked', 'world', 'certainly', 'must', 'see', 'anyone', 'social', 'physical', 'outlets']",1,18
129,"['however', 'didnt', 'make', 'fact', 'overall', 'tremendously', 'boring', 'movie']",0,16
130,"['chemistry', 'ben', 'affleck', 'sandra', 'bullock', 'film', 'couldnt', 'understand', 'would', 'consider', 'even', 'leaving', 'wifetobe', 'chick', 'supposedly', 'knocked']",0,35
131,"['several', 'moments', 'movie', 'didnt', 'need', 'excruciatingly', 'slow', 'moving']",0,19
132,"['poor', 'remake', 'best', 'friends', 'wedding']",0,10
133,"['great', 'disappointment']",0,6
134,"['believe', 'actors', 'agreed', 'film']",0,11
135,"['could', 'stand', 'even', 'watch', 'long', 'fear', 'losing', 'iq']",0,16
136,"['guess', 'nobody', 'network', 'aired', 'dribble', 'watched', 'putting']",0,17
137,"['imdb', 'ratings', 'go', 'low', 'awful', 'time', 'get', 'negative', 'numbers', 'cases']",0,23
138,"['saw', 'mirrormask', 'last', 'night', 'unsatisfactory', 'experience']",0,11
139,"['unfortunately', 'inexperience', 'direction', 'meant', 'scene', 'scene', 'passed', 'little', 'way', 'dramatic', 'tension', 'conflict']",0,20
140,"['central', 'themes', 'film', 'handled', 'ineptly', 'stereotypically', 'depth', 'imagination']",0,20
141,"['pretty', 'pictures', 'world', 'make', 'piece', 'work', 'flawed', 'core']",0,21
142,"['hour', 'half', 'waste', 'time', 'following', 'bunch', 'pretty', 'high', 'schoolers', 'whine', 'cry', 'life']",0,22
143,"['cant', 'relate', 'hell', 'barely', 'understand']",0,11
144,"['definitely', 'cult', 'classic', 'well', 'worth', 'viewing', 'sharing', 'others']",1,13
145,"['movie', 'pure', 'disaster', 'story', 'stupid', 'editing', 'worst', 'seen', 'confuses', 'incredibly']",0,23
146,"['fish', 'badly', 'made', 'underwater', 'shots', 'repeated', 'thousand', 'times', 'film']",0,19
147,"['truly', 'truly', 'bad', 'film']",0,5
148,"['acting', 'terrible', 'writing', 'worse']",0,9
149,"['possible', 'way', 'movie', 'could', 'redeemed', 'would', 'mstk', 'fodder']",0,14
150,"['paid', 'much']",0,4
151,"['also', 'real', 'treat', 'see', 'anthony', 'quinn', 'playing', 'crazy', 'horse']",1,12
152,['boring'],0,4
153,"['plot', 'whatsoever']",0,3
154,['plot'],0,5
155,['horrible'],0,1
156,"['worst', 'hour', 'half', 'lifeoh', 'gosh']",0,10
157,"['walk', 'theatre', 'minutes', 'get', 'relief']",0,17
158,"['hate', 'movies', 'like']",0,5
159,"['yeah', 'movie', 'pretty', 'much', 'sucked']",0,6
160,"['plot', 'storyline']",0,6
161,"['go', 'see', 'movie', 'bring', 'pillow', 'girlfriendboyfriend', 'keep', 'occupied']",0,19
162,['awful'],0,1
163,"['dont', 'think', 'ive', 'ever', 'gone', 'movie', 'disliked', 'much']",0,14
164,"['good', 'thing', 'tickets', 'cost', 'five', 'dollars', 'would', 'mad', 'id', 'paid', 'see', 'crap']",0,26
165,"['nobody', 'identifies', 'characters', 'theyre', 'cardboard', 'cutouts', 'stereotypes', 'predictably', 'reversestereotypes']",0,15
166,"['bad', 'film', 'bad', 'writing', 'good', 'actorsan', 'ugly', 'cartoon', 'crafted', 'paul', 'haggis', 'people', 'cant', 'handle', 'anything', 'bold', 'strokes', 'storytellinga', 'picture', 'painted', 'crayons']",0,33
167,"['crash', 'depressing', 'little', 'nothing', 'provokes', 'emotion', 'teaches', 'nothing', 'already', 'know', 'racism', 'prejudice', 'bad', 'things']",0,23
168,"['still', 'like', 'movie', 'empowerment', 'women', 'theres', 'enough', 'movies', 'like', 'one']",1,20
169,"['brain', 'attempt', 'shutdown', 'part', 'primal', 'impulse', 'selfpreservation']",0,14
170,"['left', 'shattered', 'experience', 'watching', 'film', 'took', 'good', 'two', 'hours', 'fully', 'recover']",0,21
171,"['movie', 'joins', 'revenge', 'boogeyman', 'zombiez', 'part', 'hellish', 'trinity', 'horror', 'films']",0,19
172,"['certainly', 'mean', 'distinction', 'good', 'way']",0,11
173,"['mean', 'terrible', 'way']",0,7
174,"['film', 'redeeming', 'features']",0,6
175,"['everything', 'appalling']",0,3
176,"['artless', 'camerawork', 'endlessly', 'presents', 'us', 'ugliest', 'setting', 'imaginable', 'ie']",0,11
177,"['story', 'beyond', 'stupid']",0,5
178,"['script', 'script']",0,7
179,"['kids', 'annoying']",0,4
180,"['lead', 'man', 'charismafree']",0,5
181,"['utterly', 'without', 'merit', 'level', 'akin', 'torture']",0,11
182,"['ill', 'even', 'say', 'torture']",0,9
183,"['maybe', 'would', 'reasonable', 'explanation', 'atrocity']",0,10
184,"['pleasant', 'voyage', 'selfdiscovery']",0,6
185,"['highly', 'unrecommended']",0,2
186,"['premise', 'sound', 'stupid', 'thats']",0,9
187,"['yes', 'bad']",0,4
188,"['nothing', 'recommend']",0,5
189,"['excellent', 'performance', 'ms']",1,5
190,"['garbo', 'showed', 'right', 'bat', 'talents', 'could', 'carry', 'silent', 'era', 'wanted', 'see', 'silent', 'work', 'netflix', 'doesnt', 'seem', 'stocking']",1,34
191,"['also', 'great', 'see', 'renowned', 'silent', 'screenwriter', 'frances', 'marion', 'hasnt', 'missed', 'step', 'going', 'silent', 'sound']",1,20
192,"['movie', 'suffered', 'writing', 'needed', 'suspense']",0,11
193,"['many', 'close', 'ups']",0,6
194,"['movie', 'seemed', 'drag', 'heroes', 'didnt', 'really', 'work', 'freedom']",0,18
195,"['movie', 'definitely', 'average', 'rent']",0,9
196,"['youll', 'love']",1,3
197,"['movie', 'bad']",0,4
198,['bad'],0,2
199,"['film', 'way', 'long']",0,6
200,"['definitely', 'one', 'bad', 'ones']",0,8
201,"['movie', 'received', 'great', 'quality', 'film', 'age']",1,12
202,"['john', 'wayne', 'incredible', 'job', 'young', 'movie', 'industry']",1,14
203,"['screen', 'presence', 'shined', 'thought', 'even', 'though', 'senior', 'actors', 'screen']",1,18
204,"['think', 'must', 'see', 'older', 'john', 'wayne', 'film']",1,12
205,"['really', 'dont', 'see', 'anyone', 'could', 'enjoy', 'movie']",0,10
206,"['dont', 'think', 'ive', 'ever', 'seen', 'movie', 'half', 'boring', 'selfindulgent', 'piece', 'junk']",0,17
207,"['probably', 'would', 'better', 'director', 'hadnt', 'spent', 'movie', 'showcasing', 'art', 'work', 'really', 'isnt', 'noteworthy']",0,25
208,"['another', 'thing', 'didnt', 'really', 'like', 'character', 'got', 'punched', 'face', 'gallon', 'blood', 'would', 'spew', 'forth', 'soon']",0,24
209,"['jamie', 'foxx', 'absolutely', 'ray', 'charles']",1,6
210,"['performance', 'simply', 'genius']",1,5
211,"['owns', 'film', 'spacek', 'owned', 'coal', 'miners', 'daughter', 'quaid', 'owned', 'great', 'balls', 'fire']",1,18
212,"['fact', 'hard', 'remember', 'part', 'ray', 'charles', 'acted', 'played', 'man']",1,23
213,"['ray', 'charles', 'legendary']",1,4
214,"['ray', 'charles', 'life', 'provided', 'excellent', 'biographical', 'material', 'film', 'goes', 'well', 'beyond', 'another', 'movie', 'musician']",1,21
215,"['hitchcock', 'great', 'director']",1,5
216,"['ironically', 'mostly', 'find', 'films', 'total', 'waste', 'time', 'watch']",0,13
217,"['secondly', 'hitchcock', 'pretty', 'much', 'perfected', 'thriller', 'chase', 'movie']",1,10
218,"['pandering', 'audience', 'sabotages', 'films']",0,12
219,"['hence', 'whole', 'story', 'lacks', 'certain', 'energy']",0,8
220,"['plot', 'simply', 'rumbles', 'like', 'machine', 'desperately', 'depending', 'addition', 'new', 'scenes']",0,16
221,"['usual', 'hitchcock', 'logic', 'flaws']",0,7
222,"['mishima', 'extremely', 'uninteresting']",0,4
223,"['chilly', 'unremarkable', 'movie', 'author', 'livingworking', 'chilly', 'abstruse', 'culture']",0,15
224,"['flat', 'reenactments', 'dont', 'hold', 'attention', 'emotionally', 'adrift', 'stagy']",0,14
225,"['rest', 'sits', 'awful', 'soldiers', 'singing', 'songs', 'masculinity', 'pledge', 'hairsplitting', 'purity', 'admiration', 'swords', 'etc']",0,29
226,"['bore', 'pieces', 'kill', 'momentum', 'movie', 'quicker', 'anyone', 'else']",0,17
227,"['schrader', 'made', 'resume', 'full', 'lousy', 'amateurish', 'films']",0,10
228,"['first', 'watched', 'movie', 'loved']",1,12
229,"['totally', 'fascinated', 'music', 'dancing', 'everything']",1,10
230,"['however', 'recently', 'watched', 'whole', 'thing', 'dvd', 'completely', 'struck', 'extremely', 'stupid', 'storyline', 'contained', 'holes', 'inconsistencies', 'frankly', 'whole', 'lot', 'crap', 'horrid', 'dancing']",0,44
231,"['mean', 'realistic', 'world', 'would', 'never', 'gotten', 'ballet', 'repertory', 'whole', 'thing', 'quite', 'pathetic']",0,21
232,"['character', 'developments', 'also', 'lacked', 'depth']",0,7
233,"['woa', 'talk', 'awful']",0,4
234,"['waste', 'time']",0,5
235,['horrible'],0,5
236,"['worst', 'sappiest', 'dialogue', 'could', 'go']",0,10
237,"['really', 'made', 'unwatchable', 'direction']",0,9
